Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	StopIter	Time
124	26.377502	13.262706	49.3	-1.0	150.05	500000	5.0	7754.651257753372
125	30.828125	6.294491	45.7	21.45	249.6875	504000	5.0	7814.55930685997
126	39.29091	16.543097	69.5	21.5	363.0909	508000	13.0	7874.673927783966
127	41.883335	12.63672	69.0	21.8	440.1111	512000	9.0	7934.5129363536835
128	38.69091	15.818427	69.3	21.7	337.36365	516000	7.0	7996.702379226685
129	35.86	22.436897	68.5	6.3	559.0	520000	6.0	8060.177488327026
130	47.984997	16.394848	69.5	23.5	340.0	524000	4.0	8125.513083219528
131	37.717854	15.160848	69.2	10.8	283.57144	528000	19.0	8194.13265156746
132	38.833332	9.8634	49.5	23.3	430.44446	532000	19.0	8263.296508073807
133	41.22222	12.892012	68.9	23.4	347.0	536000	7.0	8331.30336523056
134	42.09	17.069038	69.3	21.4	235.13333	540000	4.0	8399.83796620369
135	44.620003	15.314488	68.7	21.0	639.2	544000	7.0	8467.361545085907
136	58.81111	14.976311	69.5	28.8	408.8889	548000	4.0	8534.177175283432
137	50.11	13.369104	69.3	32.1	381.5	552000	3.0	8599.74225640297
138	57.95	11.749715	69.7	43.1	655.1667	556000	2.0	8661.571679830551
139	49.231815	17.957428	69.1	9.65	332.54544	560000	4.0	8721.041795015335
140	49.827274	13.232542	69.3	29.4	350.36365	564000	8.0	8780.576964378357
141	51.68077	18.353762	69.2	10.8	298.69232	568000	12.0	8840.533501625061
142	49.20909	23.764582	69.4	7.4	358.27274	572000	6.0	8899.729723930359
143	36.516666	17.152105	54.6	4.9	656.3333	576000	5.0	8958.841119289398
144	49.45714	16.474947	69.5	21.3	285.35715	580000	4.0	9018.134928703308
145	61.25	13.395242	69.1	33.5	381.75	584000	13.0	9078.253355264664
146	51.2125	19.5197	69.0	21.6	434.875	588000	5.0	9137.435508728027
147	48.84444	10.706811	69.0	41.8	398.0	592000	3.0	9196.529065132141
148	49.62857	14.607407	69.3	32.4	473.2857	596000	3.0	9255.541528463364
149	49.78636	19.717897	69.5	10.15	348.54544	600000	4.0	9315.59522485733
